Order	Family	Genus	Species	Latin_name	Reef_associated
126	Perciformes	Scombridae	Scomberomorus	maculatus	Scomberomorus_maculatus	0
1260	Perciformes	Acanthuridae	Acanthurus	triostegus	Acanthurus_triostegus	1
12601	Tetraodontiformes	Monacanthidae	Cantherhines	verecundus	Cantherhines_verecundus	1
12603	Perciformes	Mullidae	Parupeneus	chrysonemus	Parupeneus_chrysonemus	1
12604	Perciformes	Mullidae	Parupeneus	porphyreus	Parupeneus_porphyreus	1
12605	Scorpaeniformes	Scorpaenidae	Scorpaenopsis	brevifrons	Scorpaenopsis_brevifrons	1
12606	Perciformes	Gobiidae	Valenciennea	alleni	Valenciennea_alleni	1
12607	Perciformes	Gobiidae	Valenciennea	bella	Valenciennea_bella	1
12609	Perciformes	Gobiidae	Valenciennea	decora	Valenciennea_decora	1
1261	Perciformes	Acanthuridae	Acanthurus	xanthopterus	Acanthurus_xanthopterus	1
12610	Perciformes	Gobiidae	Valenciennea	limicola	Valenciennea_limicola	1
12611	Perciformes	Gobiidae	Valenciennea	parva	Valenciennea_parva	1
12612	Perciformes	Gobiidae	Valenciennea	persica	Valenciennea_persica	1
12613	Perciformes	Gobiidae	Valenciennea	randalli	Valenciennea_randalli	1
12614	Perciformes	Gobiidae	Valenciennea	immaculata	Valenciennea_immaculata	1
12615	Perciformes	Gobiidae	Valenciennea	wardii	Valenciennea_wardii	1
12619	Anguilliformes	Congridae	Heteroconger	hassi	Heteroconger_hassi	1
